id,tanglish,expected_tamil,domain,difficulty,reviewer,notes
name-020,Mu Karunanidhi,மு. கருணாநிதி,names,hard,sc-draft,historical figure
school-001,naan padikiren,நான் படிக்கிறேன்,school,medium,sc-draft,I am studying
school-002,en peyar Ravi,என் பெயர் ரவி,school,medium,sc-draft,my name is Ravi
school-003,vaguppil teacher iruka,வகுப்பில் டீச்சர் இருக்கா,school,hard,sc-draft,is the teacher in class (code-switch)
school-004,enakku Tamil pidikum,எனக்கு தமிழ் பிடிக்கும்,school,medium,sc-draft,I like Tamil
school-005,homework mudichachu,homework முடிச்சாச்சு,school,medium,sc-draft,homework is done (code-switch)
school-006,naalaikku exam iruku,நாளைக்கு exam இருக்கு,school,medium,sc-draft,exam tomorrow (code-switch)
school-007,kanitham easy-a iruku,கணிதம் easy-ஆ இருக்கு,school,hard,sc-draft,math is easy (code-switch)
school-008,naangu pasanga vandhom,நாங்கு பசங்க வந்தோம்,school,hard,sc-draft,four kids came
school-009,puthagam edu,புத்தகம் எடு,school,medium,sc-draft,take the book
school-010,paadam padi,பாடம் படி,school,medium,sc-draft,study the lesson
news-001,Modi indru pesinaar,மோடி இன்று பேசினார்,news,medium,sc-draft,Modi spoke today
news-002,vidiyalil mazhai vilum,விடியலில் மழை விழும்,news,hard,sc-draft,rain will fall at dawn (literary)
news-003,Chennai aatchikku puthiya thittam,சென்னை ஆட்சிக்கு புதிய திட்டம்,news,hard,sc-draft,new plan for Chennai administration
news-004,thanga vilai athigam aagiyathu,தங்க விலை அதிகம் ஆகியது,news,hard,sc-draft,gold price has increased
news-005,paaviyana selavu konjam,பாவியான செலவு கொஞ்சம்,news,hard,sc-draft,affordable expense is little
news-006,kalvi vidayil maatram,கல்வி விடயத்தில் மாற்றம்,news,hard,sc-draft,change in education matter
news-007,Tamil Nadu mudhalvar pesinaar,தமிழ்நாடு முதல்வர் பேசினார்,news,medium,sc-draft,Tamil Nadu Chief Minister spoke
news-008,vaanilai mosamaaga ulladhu,வானிலை மோசமாக உள்ளது,news,hard,sc-draft,weather is bad (formal)
news-009,udanadi nadavadikkai eduthar,உடனடி நடவடிக்கை எடுத்தார்,news,hard,sc-draft,he took immediate action
news-010,viswak kuthu thoongiyathu,விசுவக் கூத்து தூங்கியது,news,hard,sc-draft,viswak kuthu (cinema title) slept (review headline)
cs-001,send the message,send the message,code_switch,easy,sc-draft,pure English passthrough
cs-002,call panren,call பண்றேன்,code_switch,medium,sc-draft,calling (English verb + Tamil aux)
cs-003,homework finish panniten,homework finish பண்ணிட்டேன்,code_switch,hard,sc-draft,finished homework
cs-004,reply pannu,reply பண்ணு,code_switch,medium,sc-draft,reply (imperative)
cs-005,WhatsApp la message anuppu,WhatsApp-ல message அனுப்பு,code_switch,hard,sc-draft,send message on WhatsApp
cs-006,Google la search pannu,Google-ல search பண்ணு,code_switch,hard,sc-draft,search on Google
cs-007,school bus vandhuruchu,school bus வந்துருச்சு,code_switch,medium,sc-draft,school bus came
cs-008,laptop charge aaguthu,laptop charge ஆகுது,code_switch,hard,sc-draft,laptop is charging
cs-009,YouTube la video paaru,YouTube-ல video பாரு,code_switch,hard,sc-draft,watch video on YouTube
cs-010,birthday cake order pannu,birthday cake order பண்ணு,code_switch,hard,sc-draft,order birthday cake
